frame_id,steering_angle
1479425441182877835,-0.00312247010879
1479425441232704425,-0.00884864293039
1479425441282730750,-0.0134661290795
1479425441332806714,-0.0117946919054
1479425441382790272,-0.00764345983043
1479425441432724303,-0.0061161313206
1479425441482746958,-0.0106719583273
1479425441532802506,-0.0176303945482
1479425441582725165,-0.015129934065
1479425441632720892,-0.00957375578582
1479425441682732948,-0.013445245102
1479425441732800574,-0.0413351580501
1479425441782737331,-0.0714689195156
1479425441832816004,-0.04559032619
1479425441882830087,-0.0185059513897
1479425441932849879,-0.015080396086
1479425441982783223,-0.0487770922482
1479425442032874172,-0.109527334571
1479425442082758552,-0.116562776268
1479425442132852121,-0.0935756415129
1479425442182761838,-0.119578644633
1479425442232828524,-0.151482641697
1479425442282862682,-0.161856174469
1479425442332893792,-0.0891702324152
1479425442382858459,-0.037223931402
1479425442432797491,-0.116292461753
1479425442482899263,-0.130335077643
1479425442532771570,-0.0508799143136
1479425442582809345,-0.0448931083083
1479425442632821093,-0.0710135325789
1479425442682747552,-0.0328043513
1479425442732806572,-0.0137622691691
1479425442782862182,-0.0280210077763
1479425442832833025,-0.0215845368803
1479425442882822631,-0.00241780141369
1479425442932809867,-0.00162673811428
1479425442982805056,-0.000939498422667
1479425443032823520,-0.00149348645937
1479425443082812203,3.20711405948e-05
1479425443132827444,0.0150870978832
1479425443182854411,0.0115848220885
1479425443232861030,-0.00455271219835
1479425443282879357,-0.0160918366164
1479425443332896491,-0.044463172555
1479425443382879593,-0.0545615516603
1479425443432903742,-0.0581741370261
1479425443483016593,-0.0675510019064
1479425443533017775,-0.0374387055635
1479425443582977575,-0.0148901622742
1479425443632945821,-0.0590776875615
1479425443682982187,-0.0599151700735
1479425443732869219,-0.0598261617124
1479425443782898808,-0.0516494549811
1479425443833012205,-0.0094998255372
1479425443882914607,-0.0644742622972
1479425443933132143,-0.110357865691
1479425443983182782,-0.117254957557
1479425444033115695,-0.0842653214931
1479425444083198332,-0.0596589669585
1479425444133127546,-0.084217056632
1479425444183146275,-0.103783503175
1479425444233201168,-0.119173422456
1479425444283138737,-0.115805596113
1479425444333229360,-0.113982886076
1479425444383185181,-0.0735762044787
1479425444434593057,-0.061607029289
1479425444483190972,-0.0860763341188
1479425444533172421,-0.0959810763597
1479425444583259948,-0.0934799090028
1479425444633286162,-0.0461479723454
1479425444683294213,-0.0131767634302
1479425444733253036,-0.014436468482
1479425444783291032,-0.0381195396185
1479425444833288592,-0.0750332176685
1479425444883283220,-0.0946286693215
1479425444933328937,-0.0997283831239
1479425444983260437,-0.101943343878
1479425445033271766,-0.101473070681
1479425445083281310,-0.101012356579
1479425445133336475,-0.100235827267
1479425445183328558,-0.0997116193175
1479425445233404698,-0.10605315119
1479425445283448582,-0.119678579271
1479425445333367499,-0.122888527811
1479425445383326348,-0.114025168121
1479425445433499090,-0.107205860317
1479425445483382125,-0.104133047163
1479425445533489877,-0.103298589587
1479425445583437918,-0.102532751858
1479425445633423016,-0.097690179944
1479425445683329266,-0.0970339328051
1479425445733403939,-0.103537544608
1479425445783307622,-0.100547254086
1479425445833353168,-0.0981447994709
1479425445883484127,-0.0957459211349
1479425445933390665,-0.0965246707201
1479425445983503068,-0.100728981197
1479425446033440044,-0.0956287533045
1479425446083426096,-0.0851660966873
1479425446133410346,-0.0771328285336
1479425446183468695,-0.0689548403025
1479425446233463132,-0.0566102042794
1479425446283447100,-0.058807387948
1479425446333431175,-0.0617296397686
1479425446383424337,-0.0603120177984
1479425446433457370,-0.0496326088905
1479425446483371405,-0.0431040227413
1479425446533500137,-0.0324812233448
1479425446583477115,-0.0142898429185
1479425446633522506,-0.0155479125679
1479425446683589238,-0.0182480067015
1479425446733573761,-0.0175723116845
1479425446783611898,-0.0169969834387
1479425446833546046,-0.0154675571248
1479425446883533208,-0.0146458344534
1479425446933547800,-0.017842322588
1479425446983608400,-0.0187411438674
1479425447033578750,-0.0246500261128
1479425447083596868,-0.0355957075953
1479425447133467484,-0.0399005040526
1479425447183549871,-0.0335869118571
1479425447233486454,-0.0227867551148
1479425447283725051,-0.0164326708764
1479425447333693598,-0.0182796698064
