frame_id,steering_angle
1479425441182877835,0.0179461
1479425441232704425,0.020446
1479425441282730750,0.0182276
1479425441332806714,0.0108933
1479425441382790272,0.019133
1479425441432724303,0.0246254
1479425441482746958,0.0138861
1479425441532802506,0.00836623
1479425441582725165,0.0134627
1479425441632720892,0.0141344
1479425441682732948,0.0309171
1479425441732800574,0.0849079
1479425441782737331,0.00717562
1479425441832816004,-0.00990101
1479425441882830087,-0.00298438
1479425441932849879,0.000971875
1479425441982783223,-0.009495
1479425442032874172,0.00753772
1479425442082758552,0.0195961
1479425442132852121,0.0185747
1479425442182761838,0.0189909
1479425442232828524,0.00956971
1479425442282862682,0.00372103
1479425442332893792,-0.0357076
1479425442382858459,0.00917789
1479425442432797491,0.00601515
1479425442482899263,0.020875
1479425442532771570,0.0207243
1479425442582809345,0.0153633
1479425442632821093,0.0539356
1479425442682747552,0.033658
1479425442732806572,0.0264111
1479425442782862182,0.0284335
1479425442832833025,0.0297364
1479425442882822631,0.0351943
1479425442932809867,0.0414591
1479425442982805056,0.0765788
1479425443032823520,0.0771663
1479425443082812203,0.107403
1479425443132827444,0.0144273
1479425443182854411,0.0639372
1479425443232861030,0.012219
1479425443282879357,-0.030274
1479425443332896491,-0.0197125
1479425443382879593,-0.0144653
1479425443432903742,0.00891486
1479425443483016593,-0.00275755
1479425443533017775,-0.0278877
1479425443582977575,-0.00123222
1479425443632945821,0.00320815
1479425443682982187,0.00855805
1479425443732869219,0.0103729
1479425443782898808,0.0112101
1479425443833012205,0.00658203
1479425443882914607,0.00611073
1479425443933132143,0.00758657
1479425443983182782,0.0102098
1479425444033115695,0.00686674
1479425444083198332,-0.00949335
1479425444133127546,-0.00269568
1479425444183146275,-0.0178052
1479425444233201168,-0.0603897
1479425444283138737,-0.054372
1479425444333229360,-0.0268965
1479425444383185181,0.000172098
1479425444434593057,-0.0141607
1479425444483190972,-0.0225407
1479425444533172421,-0.0240943
1479425444583259948,-0.020533
1479425444633286162,-0.0245194
1479425444683294213,-0.0217852
1479425444733253036,-0.0189085
1479425444783291032,-0.0280667
1479425444833288592,-0.0388002
1479425444883283220,-0.0417991
1479425444933328937,-0.0522734
1479425444983260437,-0.0572723
1479425445033271766,-0.0519526
1479425445083281310,-0.0429978
1479425445133336475,-0.0560063
1479425445183328558,-0.0516094
1479425445233404698,-0.0505151
1479425445283448582,-0.0559405
1479425445333367499,-0.0573052
1479425445383326348,-0.0745325
1479425445433499090,-0.0753018
1479425445483382125,-0.0659813
1479425445533489877,-0.0377155
1479425445583437918,-0.0563922
1479425445633423016,-0.0607044
1479425445683329266,-0.0536761
1479425445733403939,-0.0583679
1479425445783307622,-0.0572501
1479425445833353168,-0.0470068
1479425445883484127,-0.0430416
1479425445933390665,-0.0402638
1479425445983503068,-0.0449919
1479425446033440044,-0.0478355
1479425446083426096,-0.0600807
1479425446133410346,-0.0563514
1479425446183468695,-0.0503912
1479425446233463132,-0.0521449
1479425446283447100,-0.054906
1479425446333431175,-0.0540564
1479425446383424337,-0.0536935
1479425446433457370,-0.0530109
1479425446483371405,-0.0487645
1479425446533500137,-0.0352429
1479425446583477115,-0.0385012
1479425446633522506,-0.0369565
1479425446683589238,-0.0376451
1479425446733573761,-0.03535
1479425446783611898,-0.0162445
1479425446833546046,-0.017248
1479425446883533208,-0.0236026
1479425446933547800,-0.0246689
1479425446983608400,0.00270029
1479425447033578750,-0.0299406
1479425447083596868,-0.0199995
1479425447133467484,-0.0111488
1479425447183549871,-0.00340571
1479425447233486454,-0.00228521
1479425447283725051,-0.0127654
1479425447333693598,-0.0237135
1479425447383620607,-0.0133402
1479425447433621760,0.00427759
1479425447483674337,0.00721175
1479425447533663020,0.00100403
1479425447583646955,8.62936e-05
1479425447633645468,0.00552745
1479425447683675176,0.00381211
1479425447733726775,-0.0136705
1479425447783780269,-0.0405692
1479425447833680291,-0.0172277
1479425447883694922,0.00874113
1479425447933701813,0.0137921
1479425447983829975,0.0126247
1479425448033742629,0.00963249
1479425448083725825,0.0114687
1479425448133784412,0.0104179
1479425448183782273,0.016634
1479425448233780330,0.00886684
1479425448283749801,0.00654373
1479425448333826064,0.0194532
1479425448383792183,0.0106329
1479425448433778649,0.00054066
1479425448483793143,0.00412209
